true_label,choice,task,subject,file,trial_id
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,655
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6972
neutral,neutral,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1291
neutral,fear,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8207
fear,fear,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25519
anger,disgust,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25167
neutral,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21819
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24253
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17210
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21355
disgust,disgust,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22440
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24796
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6661
happy,happy,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24121
fear,disgust,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26428
surprise,surprise,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8119
sad,sad,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25727
happy,happy,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2436
fear,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7445
disgust,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16091
happy,happy,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25410
happy,happy,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7292
happy,neutral,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23930
surprise,surprise,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7318
sad,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7817
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24903
fear,fear,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7499
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16973
happy,happy,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23894
fear,fear,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,871
happy,happy,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7779
fear,fear,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1029
sad,anger,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13655
neutral,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21705
surprise,happy,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,943
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15874
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17516
sad,sad,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21131
happy,happy,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21491
anger,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16267
surprise,surprise,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8128
fear,fear,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5364
surprise,surprise,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2774
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16121
happy,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2077
fear,fear,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23844
disgust,disgust,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,21074
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6954
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14337
neutral,neutral,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24181
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24365
happy,happy,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24283
disgust,disgust,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5881
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,223
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1401
surprise,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2854
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16084
neutral,neutral,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6750
surprise,happy,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7475
anger,anger,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7166
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,311
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17390
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23595
surprise,surprise,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14501
sad,sad,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13693
sad,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7565
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20881
happy,happy,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,22002
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5936
neutral,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7837
neutral,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,26048
disgust,disgust,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14157
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14419
anger,neutral,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5966
disgust,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25574
happy,happy,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17205
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17221
disgust,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17533
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,669
sad,neutral,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,76
happy,happy,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20334
anger,anger,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24886
sad,sad,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20171
sad,sad,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25704
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24768
disgust,disgust,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26322
disgust,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6534
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1189
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20204
anger,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16144
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24180
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1378
surprise,surprise,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7668
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23937
fear,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2169
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15758
fear,fear,emotion,P4,2025-07-14_EmotionNoInverFP_194_P4_6_34.json,19642
fear,happy,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6829
sad,sad,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20642
neutral,anger,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,25053
neutral,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2323
fear,happy,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23345
sad,sad,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2590
surprise,surprise,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14105
disgust,disgust,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8379
fear,surprise,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,22041
disgust,sad,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24783
neutral,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7040
disgust,disgust,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13907
happy,happy,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14240
fear,happy,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22077
anger,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16741
anger,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2272
happy,happy,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22306
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16335
happy,happy,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8229
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20277
sad,sad,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21485
neutral,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2573
anger,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15614
disgust,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2648
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,663
sad,sad,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25454
neutral,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15971
anger,anger,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13584
happy,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7583
fear,disgust,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6350
fear,fear,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7880
fear,fear,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23590
neutral,sad,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24448
anger,anger,emotion,P6,2025-07-14_EmotionNoInverFP_285_P6_6_31.json,19943
surprise,surprise,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21886
neutral,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7113
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21120
anger,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17202
sad,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2101
anger,anger,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,26002
sad,sad,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25552
anger,anger,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21271
surprise,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2856
sad,sad,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20231
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24874
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24965
happy,happy,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20574
neutral,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2987
anger,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5817
sad,sad,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21534
fear,fear,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24858
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23554
surprise,surprise,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25434
fear,fear,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13814
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16213
surprise,surprise,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23401
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1443
surprise,surprise,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13822
disgust,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2452
happy,happy,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20040
disgust,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2788
surprise,surprise,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20878
anger,anger,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22795
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16436
