true_label,choice,task,subject,file,trial_id
4,4,identity,Ahana,2025-06-18_IdentityNoInverRgCh_501_Ahana_6_34.json,12954
0,0,identity,Ahana,2025-06-18_IdentityNoInverRgCh_501_Ahana_7_57.json,13407
5,6,identity,Ahana,2025-06-17_IdentityNoInver_501_Ahana_9_58.json,10290
6,6,identity,Ahana,2025-06-17_IdentityTexture_501_Ahana_6_26.json,11238
6,6,identity,Ahana,2025-06-17_IdentityNoInver_501_Ahana_0_32.json,9320
3,3,identity,Ahana,2025-07-07_IdentityNoInverFP_501_Ahana_1_07.json,18110
4,1,identity,Ahana,2025-06-17_IdentityNoInver_501_Ahana_0_45.json,9947
0,4,identity,Seojin,2025-07-14_IdentityNoInverFP_501_Seojin_6_57.json,30317
4,4,identity,Seojin,2025-07-14_IdentityNoInverFP_501_Seojin_7_21.json,30571
6,6,identity,Ahana,2025-07-07_IdentityNoInverFP_501_Ahana_0_54.json,17669
0,0,identity,Seojin,2025-07-14_IdentityNoInverFP_501_Seojin_7_21.json,30888
2,2,identity,Ahana,2025-06-12_IdentityTexture_501_Ahana_0_30.json,3425
2,2,identity,Elias,2025-07-16_IdentityNoInverFP_409_Elias_4_00.json,32779
1,1,identity,Seojin,2025-07-14_IdentityNoInverFP_501_Seojin_7_21.json,30731
4,4,identity,Ahana,2025-06-17_IdentityNoInver_501_Ahana_0_32.json,9298
0,5,identity,Ahana,2025-06-20_IdentityNoInverFP_501_Ahana_6_26.json,14556
7,7,identity,Ahana,2025-06-12_IdentityTexture_501_Ahana_0_40.json,3605
0,0,identity,Ahana,2025-07-07_IdentityNoInverFP_501_Ahana_1_07.json,18242
6,6,identity,Dan,2025-07-14_IdentityNoInverFP_501_Dan_7_25.json,29509
4,4,identity,Ahana,2025-06-17_IdentityTexture_501_Ahana_6_26.json,11203
6,6,identity,Ahana,2025-06-17_IdentityTexture_501_Ahana_5_03.json,10813
7,2,identity,Ahana,2025-06-17_Identity_501_Ahana_4_28.json,11539
3,3,identity,Ahana,2025-06-12_IdentityTexture_501_Ahana_0_30.json,3034
2,2,identity,Dan,2025-07-14_IdentityNoInverFP_180_Dan_7_48.json,27035
6,6,identity,Elias,2025-07-15_IdentityNoInverFP_295_Elias_1_48.json,32020
3,3,identity,Ahana,2025-06-17_Identity_501_Ahana_4_41.json,12034
3,3,identity,Sreyas,2025-07-14_IdentityNoInverFP_501_Sreyas_7_22.json,31674
1,1,identity,Ashley,2025-07-14_IdentityNoInverFP_501_Ashley_7_00.json,28440
5,5,identity,Ahana,2025-06-17_IdentityTexture_501_Ahana_6_26.json,11469
5,4,identity,Ahana,2025-06-20_IdentityNoInverFP_501_Ahana_6_40.json,15205
0,0,identity,Ahana,2025-07-07_IdentityNoInverFP_501_Ahana_1_07.json,18246
7,7,identity,Ahana,2025-06-11_Identity_501_Ahana_0_25.json,1576
3,3,identity,Sreyas,2025-07-14_IdentityNoInverFP_501_Sreyas_7_22.json,31562
5,5,identity,Ahana,2025-06-17_Identity_501_Ahana_4_41.json,12215
3,3,identity,Ahana,2025-07-07_IdentityNoInverFP_501_Ahana_1_07.json,18493
1,1,identity,Ahana,2025-06-18_IdentityNoInverRgCh_501_Ahana_7_57.json,13135
2,5,identity,Ahana,2025-06-17_Identity_501_Ahana_4_41.json,12283
2,2,identity,Elias,2025-07-16_IdentityNoInverFP_409_Elias_4_00.json,32827
2,2,identity,Ahana,2025-07-08_IdentityNoInverFP_501_Ahana_6_00.json,19457
2,0,identity,Ahana,2025-06-17_IdentityNoInver_501_Ahana_0_45.json,9866
4,4,identity,Ahana,2025-06-17_Identity_501_Ahana_4_28.json,11835
2,2,identity,Ahana,2025-06-17_IdentityNoInver_501_Ahana_0_12.json,9002
2,2,identity,Seojin,2025-07-14_IdentityNoInverFP_501_Seojin_6_57.json,30272
