true_label,choice,task,subject,file,trial_id
0,0,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11360
6,6,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10825
3,3,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_00.json,28015
1,1,identity,P4,2025-07-15_IdentityNoInverFP_295_P4_1_48.json,32185
1,1,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1879
1,1,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4498
4,7,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13455
7,7,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11680
2,2,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9573
4,4,identity,P4,2025-07-15_IdentityNoInverFP_295_P4_1_48.json,32139
5,4,identity,P1,2025-06-17_IdentityNoInver_501_P1_9_58.json,10134
5,5,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4460
4,4,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_12.json,8933
3,3,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11409
0,0,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_7_25.json,29486
5,5,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30389
4,4,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15295
1,4,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19480
6,6,identity,P7,2025-07-14_IdentityNoInverFP_274_P7_7_45.json,27933
4,4,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_00.json,28453
0,0,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_5_46.json,18777
4,4,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19419
2,2,identity,P6,2025-07-14_IdentityNoInverFP_235_P6_7_24.json,27578
0,0,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32403
1,1,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28633
