true_label,choice,task,subject,file,trial_id
5,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,0
2,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,1
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,2
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,3
2,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,4
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,5
6,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,6
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,7
6,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,8
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,9
1,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,10
3,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,11
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,12
1,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,13
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,14
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,15
3,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,16
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,17
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,18
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,19
1,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,20
3,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,21
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,22
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,23
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,24
2,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,25
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,26
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,27
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,28
2,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,29
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,30
5,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,31
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,32
2,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,33
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,34
2,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,35
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,36
2,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,37
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,38
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,39
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,40
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,41
5,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,42
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,43
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,44
1,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,45
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,46
1,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,47
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,48
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,49
1,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,50
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,51
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,52
3,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,53
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,54
3,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,55
1,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,56
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,57
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,58
2,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,59
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,60
6,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,61
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,62
3,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,63
3,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,64
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,65
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,66
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,67
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,68
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,69
2,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,70
2,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,71
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,72
1,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,73
6,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,74
4,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,75
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,76
5,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,77
4,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,78
5,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,79
1,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,80
2,0,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,81
6,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,82
0,1,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,83
